web_scraper_order,web_scraper_start_url,pagination,data,photo,item_page_title,item_page_link,Color_Number,Color_Description,Natural_Finished,whole_article_number,image
"1777650599-2544","https://catalog.preciosa-ornela.com/catalog-beads#","","03161","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03161.webp?v=1774867244","03161
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2150","03161","green 2 dyed chalkwhite","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03161.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650601-2545","https://catalog.preciosa-ornela.com/catalog-beads#","","03141","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03141.webp?v=1774867244","03141
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2149","03141","grey 2 dyed chalkwhite","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03141.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650604-2546","https://catalog.preciosa-ornela.com/catalog-beads#","","03134","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03134.webp?v=1774867244","03134
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2148","03134","blue-green 2 dyed chalkwhite","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03134.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650606-2547","https://catalog.preciosa-ornela.com/catalog-beads#","","01191","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01191.webp?v=1774867244","01191
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2147","01191","red 2 dyed crystal","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01191.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650608-2548","https://catalog.preciosa-ornela.com/catalog-beads#","","01181","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01181.webp?v=1774867244","01181
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2146","01181","yellow 2 dyed crystal","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01181.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650611-2549","https://catalog.preciosa-ornela.com/catalog-beads#","","01161","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01161.webp?v=1774867244","01161
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2145","01161","green 2 dyed crystal","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01161.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650613-2550","https://catalog.preciosa-ornela.com/catalog-beads#","","01141","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01141.webp?v=1774867244","01141
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2144","01141","grey 2 dyed crystal","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01141.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650615-2551","https://catalog.preciosa-ornela.com/catalog-beads#","","01134","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01134.webp?v=1774867244","01134
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2143","01134","blue-green 2 dyed crystal","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-01134.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650618-2552","https://catalog.preciosa-ornela.com/catalog-beads#","","59195","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59195.webp?v=1774867375","59195
                                2/4mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87059","59195","red iris","finished","Red Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59195.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59195-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650620-2553","https://catalog.preciosa-ornela.com/catalog-beads#","","59155","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59155.webp?v=1774867375","59155
                                2/4mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87058","59155","green iris","finished","Green Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59155.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59155-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650622-2554","https://catalog.preciosa-ornela.com/catalog-beads#","","59135","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59135.webp?v=1774867375","59135
                                2/4mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87057","59135","blue iris","finished","Blue Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59135.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-2x4mm-59135-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
